circle,division,subdivision,section,area,catdesc,catcode,totservices,billdservices,units,load
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,SANATHNAGAR,CT METERS,EV CHARGING STATIONS,9,1,1.0,4854.0,54.0
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,ERRAGADDA,NEW ERRAGADDA,EV CHARGING STATIONS,9,1,1.0,4433.0,9.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,"GRC - P.GADDA, P.NAGAR",EV CHARGING STATIONS,9,1,1.0,992.0,10.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,GRC. SHYAMLAL,EV CHARGING STATIONS,9,1,1.0,1250.0,22.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,GREENLANDS,GRC HV GREENLANDS,EV CHARGING STATIONS,9,1,1.0,327.0,10.0
BANJARA HILLS,BANJARA HILLS,AMEERPET,YOUSUFGUDA,PRAGATHINAGAR-1,EV CHARGING STATIONS,9,1,1.0,166.0,8.0
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,FILM NAGAR,"CHURCH GULLY,MLA COLONY,APOLO",EV CHARGING STATIONS,9,1,1.0,3338.0,55.0
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,FILM NAGAR,GRC HIGH VALUES RDNO-12&13 BAN,EV CHARGING STATIONS,9,1,1.0,2218.0,54.0
BANJARA HILLS,BANJARA HILLS,AMEERPET,SRI KRISHNA NAGAR,CT METERS-GRC,EV CHARGING STATIONS,9,1,1.0,3282.0,54.0
BANJARA HILLS,BANJARA HILLS,JUBILEE HILLS,JUBILEE HILLS,HV RD NO 39 TO 45 & 54 TO 68,EV CHARGING STATIONS,9,1,1.0,61.0,15.0
BANJARA HILLS,BANJARA HILLS,JUBILEE HILLS,JUBILEE HILLS,HV ROAD 22 TO 35,EV CHARGING STATIONS,9,1,1.0,0.0,50.0
BANJARA HILLS,BANJARA HILLS,JUBILEE HILLS,MADHAPUR,"JENCLAVE, GAFOOR,VITTAL NAGAR",EV CHARGING STATIONS,9,1,1.0,812.0,20.0
BANJARA HILLS,BANJARA HILLS,JUBILEE HILLS,MADHAPUR,KAVURI HILLS,EV CHARGING STATIONS,9,1,1.0,7414.0,54.0
BANJARA HILLS,BANJARA HILLS,JUBILEE HILLS,MADHAPUR,"VITTAL RAO NAGAR,GAFOORNAGAR",EV CHARGING STATIONS,9,2,2.0,0.0,3.0
CYBERCITY,KONDAPUR,KONDAPUR,ALLAPUR,H.V,EV CHARGING STATIONS,9,1,1.0,236.0,15.0
CYBERCITY,KONDAPUR,KONDAPUR,KONDAPUR,HV-3,EV CHARGING STATIONS,9,1,1.0,128.0,50.0
CYBERCITY,KONDAPUR,KONDAPUR,KONDAPUR,SHILPA VALLY,EV CHARGING STATIONS,9,1,1.0,0.0,5.0
CYBERCITY,KONDAPUR,KONDAPUR,WHITE FIELD,GACHIBOWLI,EV CHARGING STATIONS,9,1,1.0,11841.0,54.0
CYBERCITY,KONDAPUR,KONDAPUR,WHITE FIELD,HV WHITEFIELD,EV CHARGING STATIONS,9,1,1.0,321.0,52.0
CYBERCITY,KONDAPUR,KPHB,BALAJI NAGAR,BALAJINAGAR CT METERS,EV CHARGING STATIONS,9,1,1.0,3422.0,56.0
CYBERCITY,KONDAPUR,KPHB,BALAJI NAGAR,MOOSAPET,EV CHARGING STATIONS,9,1,1.0,6305.0,5.0
CYBERCITY,KONDAPUR,KPHB,BALAJI NAGAR,VIVEKNAGAR,EV CHARGING STATIONS,9,1,1.0,168.0,5.0
CYBERCITY,GACHIBOWLI,GACHIBOWLI,NALLAGANDLA,GULMOHAR & DUBE COLONY,EV CHARGING STATIONS,9,1,1.0,4835.0,54.0
CYBERCITY,GACHIBOWLI,CHANDA NAGAR,CHANDA NAGAR,CHANDANAGAR-HV,EV CHARGING STATIONS,9,1,1.0,1288.0,22.0
CYBERCITY,GACHIBOWLI,CHANDA NAGAR,CHANDA NAGAR,PRKASHNAGAR,EV CHARGING STATIONS,9,1,1.0,3009.0,12.0
CYBERCITY,GACHIBOWLI,GACHIBOWLI,TARANAGAR,TARANAGAR GOVT,EV CHARGING STATIONS,9,2,2.0,6062.0,108.0
CYBERCITY,GACHIBOWLI,CHANDA NAGAR,HAFEEZPET,MIYAPUR HV,EV CHARGING STATIONS,9,2,2.0,4730.0,95.0
